,score,label,ulasan,CaseFolding,Cleaning,HapusEmoji,Spasi,Tokenizing,Normalized_Words,Stopword Removal,Stemming,dataset_join
1,1,0,"Ini knp yaa, baru 1 hari berlangganan lancar nonton apapun, eh besok paginya udah gabisa. Disuruh berlangganan lagi. Kan jadi rugi, buat apa bayar kalo gtu.","ini knp yaa, baru 1 hari berlangganan lancar nonton apapun, eh besok paginya udah gabisa. disuruh berlangganan lagi. kan jadi rugi, buat apa bayar kalo gtu.",ini knp yaa  baru   hari berlangganan lancar nonton apapun  eh besok paginya udah gabisa  disuruh berlangganan lagi  kan jadi rugi  buat apa bayar kalo gtu,ini knp yaa  baru   hari berlangganan lancar nonton apapun  eh besok paginya udah gabisa  disuruh berlangganan lagi  kan jadi rugi  buat apa bayar kalo gtu,ini knp yaa  baru hari berlangganan lancar nonton apapun  eh besok paginya udah gabisa  disuruh berlangganan lagi  kan jadi rugi  buat apa bayar kalo gtu,"['ini', 'knp', 'yaa', 'baru', 'hari', 'berlangganan', 'lancar', 'nonton', 'apapun', 'eh', 'besok', 'paginya', 'udah', 'gabisa', 'disuruh', 'berlangganan', 'lagi', 'kan', 'jadi', 'rugi', 'buat', 'apa', 'bayar', 'kalo', 'gtu']","['berlangganan', 'lancar', 'nonton', 'apapun', 'besok', 'paginya', 'udah', 'tidak bisa', 'disuruh', 'berlangganan', 'rugi', 'kalo', 'gitu']","['berlangganan', 'lancar', 'nonton', 'apapun', 'besok', 'paginya', 'udah', 'gabisa', 'disuruh', 'berlangganan', 'rugi', 'kalo', 'gtu']","['langgan', 'lancar', 'nonton', 'apa', 'besok', 'pagi', 'udah', 'tidak bisa', 'suruh', 'langgan', 'rugi', 'kalo', 'gitu']",langgan lancar nonton apa besok pagi udah tidak bisa suruh langgan rugi kalo gitu
2,1,0,Kok banyak error nya sih ? Sdh berlangganan tpi nggk bisa di aktifkan..,kok banyak error nya sih ? sdh berlangganan tpi nggk bisa di aktifkan..,kok banyak error nya sih   sdh berlangganan tpi nggk bisa di aktifkan,kok banyak error nya sih   sdh berlangganan tpi nggk bisa di aktifkan,kok banyak error nya sih sdh berlangganan tpi nggk bisa di aktifkan,"['kok', 'banyak', 'error', 'nya', 'sih', 'sdh', 'berlangganan', 'tpi', 'nggk', 'bisa', 'di', 'aktifkan']","['eror', 'sudah', 'berlangganan', 'aktifkan']","['error', 'sdh', 'berlangganan', 'aktifkan']","['eror', 'sudah', 'langgan', 'aktif']",eror sudah langgan aktif
3,1,0,"APAAN INI?SAYA CUMAN BERLANGGANAN 1 BULAN DAN SUDAH BAYAR BULAN LALU,MASA SALDO SAYA MENGURANG HARI INI?KAN SAYA SUDAH BERHENTI BERLANGGANAN,BALIKIN SALDO SAYA!","apaan ini?saya cuman berlangganan 1 bulan dan sudah bayar bulan lalu,masa saldo saya mengurang hari ini?kan saya sudah berhenti berlangganan,balikin saldo saya!",apaan ini saya cuman berlangganan   bulan dan sudah bayar bulan lalu masa saldo saya mengurang hari ini kan saya sudah berhenti berlangganan balikin saldo saya,apaan ini saya cuman berlangganan   bulan dan sudah bayar bulan lalu masa saldo saya mengurang hari ini kan saya sudah berhenti berlangganan balikin saldo saya,apaan ini saya cuman berlangganan bulan dan sudah bayar bulan lalu masa saldo saya mengurang hari ini kan saya sudah berhenti berlangganan balikin saldo saya,"['apaan', 'ini', 'saya', 'cuman', 'berlangganan', 'bulan', 'dan', 'sudah', 'bayar', 'bulan', 'lalu', 'masa', 'saldo', 'saya', 'mengurang', 'hari', 'ini', 'kan', 'saya', 'sudah', 'berhenti', 'berlangganan', 'balikin', 'saldo', 'saya']","['cuma', 'berlangganan', 'saldo', 'mengurang', 'berhenti', 'berlangganan', 'kembalikan', 'saldo']","['cuman', 'berlangganan', 'saldo', 'mengurang', 'berhenti', 'berlangganan', 'balikin', 'saldo']","['cuma', 'langgan', 'saldo', 'kurang', 'henti', 'langgan', 'kembali', 'saldo']",cuma langgan saldo kurang henti langgan kembali saldo
4,1,0,"Sekarang cara pembelian paketnya ribet , ga bisa pake pulsa ,","sekarang cara pembelian paketnya ribet , ga bisa pake pulsa ,",sekarang cara pembelian paketnya ribet   ga bisa pake pulsa,sekarang cara pembelian paketnya ribet   ga bisa pake pulsa,sekarang cara pembelian paketnya ribet ga bisa pake pulsa,"['sekarang', 'cara', 'pembelian', 'paketnya', 'ribet', 'ga', 'bisa', 'pake', 'pulsa']","['pembelian', 'ribet', 'tidak', 'pulsa']","['pembelian', 'ribet', 'ga', 'pulsa']","['beli', 'ribet', 'tidak', 'pulsa']",beli ribet tidak pulsa
5,1,0,Aplikasi babi,aplikasi babi,aplikasi babi,aplikasi babi,aplikasi babi,"['aplikasi', 'babi']","['aplikasi', 'babi']","['aplikasi', 'babi']","['aplikasi', 'babi']",aplikasi babi
6,1,0,Mengecewakan pelanggan!!!,mengecewakan pelanggan!!!,mengecewakan pelanggan,mengecewakan pelanggan,mengecewakan pelanggan,"['mengecewakan', 'pelanggan']","['mengecewakan', 'pelanggan']","['mengecewakan', 'pelanggan']","['kecewa', 'langgan']",kecewa langgan
7,1,0,Sekarang apk vidio sering lelet ya Mohon di perbaiki,sekarang apk vidio sering lelet ya mohon di perbaiki,sekarang apk vidio sering lelet ya mohon di perbaiki,sekarang apk vidio sering lelet ya mohon di perbaiki,sekarang apk vidio sering lelet ya mohon di perbaiki,"['sekarang', 'apk', 'vidio', 'sering', 'lelet', 'ya', 'mohon', 'di', 'perbaiki']","['aplikasi', 'vidio', 'lelet', 'mohon', 'perbaiki']","['apk', 'vidio', 'lelet', 'mohon', 'perbaiki']","['aplikasi', 'vidio', 'lelet', 'mohon', 'baik']",aplikasi vidio lelet mohon baik
8,1,0,Kadang kalo nonton live ada tulisan aktifkan premier pas waktu nya habis tiba tiba gk bisa nonton live nya lagi,kadang kalo nonton live ada tulisan aktifkan premier pas waktu nya habis tiba tiba gk bisa nonton live nya lagi,kadang kalo nonton live ada tulisan aktifkan premier pas waktu nya habis tiba tiba gk bisa nonton live nya lagi,kadang kalo nonton live ada tulisan aktifkan premier pas waktu nya habis tiba tiba gk bisa nonton live nya lagi,kadang kalo nonton live ada tulisan aktifkan premier pas waktu nya habis tiba tiba gk bisa nonton live nya lagi,"['kadang', 'kalo', 'nonton', 'live', 'ada', 'tulisan', 'aktifkan', 'premier', 'pas', 'waktu', 'nya', 'habis', 'tiba', 'tiba', 'gk', 'bisa', 'nonton', 'live', 'nya', 'lagi']","['kadang', 'kalo', 'nonton', 'tulisan', 'aktifkan', 'habis', 'tidak', 'nonton']","['kadang', 'kalo', 'nonton', 'tulisan', 'aktifkan', 'habis', 'gk', 'nonton']","['kadang', 'kalo', 'nonton', 'tulis', 'aktif', 'habis', 'tidak', 'nonton']",kadang kalo nonton tulis aktif habis tidak nonton
9,1,0,aplikasi berbayar... sangat tidak rekomended lebih baik uninstal jangan downlod,aplikasi berbayar... sangat tidak rekomended lebih baik uninstal jangan downlod,aplikasi berbayar    sangat tidak rekomended lebih baik uninstal jangan downlod,aplikasi berbayar    sangat tidak rekomended lebih baik uninstal jangan downlod,aplikasi berbayar sangat tidak rekomended lebih baik uninstal jangan downlod,"['aplikasi', 'berbayar', 'sangat', 'tidak', 'rekomended', 'lebih', 'baik', 'uninstal', 'jangan', 'downlod']","['aplikasi', 'berbayar', 'direkomendasikan', 'unduh']","['aplikasi', 'berbayar', 'rekomended', 'downlod']","['aplikasi', 'bayar', 'rekomendasi', 'unduh']",aplikasi bayar rekomendasi unduh
10,1,0,Aplikasi kacau nyedot pulsa doang,aplikasi kacau nyedot pulsa doang,aplikasi kacau nyedot pulsa doang,aplikasi kacau nyedot pulsa doang,aplikasi kacau nyedot pulsa doang,"['aplikasi', 'kacau', 'nyedot', 'pulsa', 'doang']","['aplikasi', 'kacau', 'menyedot', 'pulsa']","['aplikasi', 'kacau', 'nyedot', 'pulsa']","['aplikasi', 'kacau', 'sedot', 'pulsa']",aplikasi kacau sedot pulsa
